age,weight,height,gender,goal,level,steps,location,mon,tue,wed,thu,fri,sat,sun
39,68,169,F,Масса,Продвинутый,5630,Зал,Йога 30 мин,Кардио 30 мин,Растяжка 15 мин,Кардио 30 мин,Йога 30 мин,Бег 20 мин,Присед 4x10
34,84,166,M,Масса,Продвинутый,4505,Зал,Функционалка 30 мин,Плавание 45 мин,Растяжка 15 мин,Функционалка 30 мин,Жим лёжа 4x8,Присед 4x10,Бег 20 мин
39,73,189,M,Масса,Средний,5976,Зал,Бег 20 мин,Бег 20 мин,Шраги 3x12,Кардио 30 мин,Присед 4x10,Бег 20 мин,Гиперэкстензия 3x15
44,92,170,M,Масса,Начинающий,11597,Зал,Шраги 3x12,Гиперэкстензия 3x15,Плавание 45 мин,Кардио 30 мин,Гиперэкстензия 3x15,Плавание 45 мин,Плавание 45 мин
35,60,160,F,Масса,Средний,11039,Зал,Шраги 3x12,Шраги 3x12,Функционалка 30 мин,Функционалка 30 мин,Йога 30 мин,Присед 4x10,Гиперэкстензия 3x15
36,67,167,M,Масса,Средний,11511,Зал,Функционалка 30 мин,Йога 30 мин,Растяжка 15 мин,Бег 20 мин,Жим лёжа 4x8,Присед 4x10,Бег 20 мин
48,73,192,M,Масса,Средний,5439,Зал,Кардио 30 мин,Жим лёжа 4x8,Жим лёжа 4x8,Функционалка 30 мин,Йога 30 мин,Гиперэкстензия 3x15,Присед 4x10
45,84,187,M,Масса,Продвинутый,6788,Зал,Присед 4x10,Тяга штанги в наклоне 4x10,Функционалка 30 мин,Жим лёжа 4x8,Бег 20 мин,Функционалка 30 мин,Функционалка 30 мин
48,58,175,M,Масса,Средний,4998,Зал,Жим лёжа 4x8,Присед 4x10,Растяжка 15 мин,Гиперэкстензия 3x15,Кардио 30 мин,Функционалка 30 мин,Шраги 3x12
22,88,165,M,Масса,Продвинутый,6537,Зал,Кардио 30 мин,Йога 30 мин,Жим лёжа 4x8,Кардио 30 мин,Присед 4x10,Жим лёжа 4x8,Бег 20 мин
48,91,190,F,Масса,Средний,9762,Зал,Шраги 3x12,Плавание 45 мин,Кардио 30 мин,Кардио 30 мин,Растяжка 15 мин,Растяжка 15 мин,Тяга штанги в наклоне 4x10
